Магазин,Хліб,Календар,Кількість,Сума
АВТОСТАНЦІЯ,БІЛИЙ,2025-01-01,5.0,150
АВТОСТАНЦІЯ,СІРИЙ,2025-01-01,11.0,352
АВТОСТАНЦІЯ,БОРОДІНСЬКИЙ,2025-01-01,21.0,945
АВТОСТАНЦІЯ,ТОСТОВИЙ,2025-01-01,24.0,1320
АВТОСТАНЦІЯ,ФЕРМЕРСЬКИЙ,2025-01-01,16.0,768
АВТОСТАНЦІЯ,ЦІЛЬНОЗЕРНОВИЙ,2025-01-01,6.0,360
АВТОСТАНЦІЯ,КЕРПІЧИК,2025-01-01,,0
АВТОСТАНЦІЯ,З ТРАВАМИ,2025-01-01,12.0,624
ГРІНВІЧ,БІЛИЙ,2025-01-01,22.0,660
ГРІНВІЧ,СІРИЙ,2025-01-01,17.0,544
ГРІНВІЧ,БОРОДІНСЬКИЙ,2025-01-01,24.0,1080
ГРІНВІЧ,ТОСТОВИЙ,2025-01-01,8.0,440
ГРІНВІЧ,ФЕРМЕРСЬКИЙ,2025-01-01,24.0,1152
ГРІНВІЧ,ЦІЛЬНОЗЕРНОВИЙ,2025-01-01,19.0,1140
ГРІНВІЧ,КЕРПІЧИК,2025-01-01,8.0,224
ГРІНВІЧ,З ТРАВАМИ,2025-01-01,10.0,520
ПАЛАНОК,БІЛИЙ,2025-01-01,5.0,150
ПАЛАНОК,СІРИЙ,2025-01-01,19.0,608
ПАЛАНОК,БОРОДІНСЬКИЙ,2025-01-01,24.0,1080
ПАЛАНОК,ТОСТОВИЙ,2025-01-01,22.0,1210
ПАЛАНОК,ФЕРМЕРСЬКИЙ,2025-01-01,22.0,1056
ПАЛАНОК,ЦІЛЬНОЗЕРНОВИЙ,2025-01-01,7.0,420
ПАЛАНОК,КЕРПІЧИК,2025-01-01,19.0,532
ПАЛАНОК,З ТРАВАМИ,2025-01-01,16.0,832
ЧЕРЕМШИНА,БІЛИЙ,2025-01-01,10.0,300
ЧЕРЕМШИНА,СІРИЙ,2025-01-01,19.0,608
ЧЕРЕМШИНА,БОРОДІНСЬКИЙ,2025-01-01,15.0,675
ЧЕРЕМШИНА,ТОСТОВИЙ,2025-01-01,13.0,715
ЧЕРЕМШИНА,ФЕРМЕРСЬКИЙ,2025-01-01,7.0,336
ЧЕРЕМШИНА,ЦІЛЬНОЗЕРНОВИЙ,2025-01-01,16.0,960
ЧЕРЕМШИНА,КЕРПІЧИК,2025-01-01,20.0,560
ЧЕРЕМШИНА,З ТРАВАМИ,2025-01-01,5.0,260
ПІДГОРЯНО,БІЛИЙ,2025-01-01,7.0,210
ПІДГОРЯНО,СІРИЙ,2025-01-01,11.0,352
ПІДГОРЯНО,БОРОДІНСЬКИЙ,2025-01-01,19.0,855
ПІДГОРЯНО,ТОСТОВИЙ,2025-01-01,20.0,1100
ПІДГОРЯНО,ФЕРМЕРСЬКИЙ,2025-01-01,16.0,768
ПІДГОРЯНО,ЦІЛЬНОЗЕРНОВИЙ,2025-01-01,6.0,360
ПІДГОРЯНО,КЕРПІЧИК,2025-01-01,17.0,476
ПІДГОРЯНО,З ТРАВАМИ,2025-01-01,6.0,312
ЄВРАЗІЯ,БІЛИЙ,2025-01-01,17.0,510
ЄВРАЗІЯ,СІРИЙ,2025-01-01,11.0,352
ЄВРАЗІЯ,БОРОДІНСЬКИЙ,2025-01-01,15.0,675
ЄВРАЗІЯ,ТОСТОВИЙ,2025-01-01,12.0,660
ЄВРАЗІЯ,ФЕРМЕРСЬКИЙ,2025-01-01,22.0,1056
ЄВРАЗІЯ,ЦІЛЬНОЗЕРНОВИЙ,2025-01-01,12.0,720
ЄВРАЗІЯ,КЕРПІЧИК,2025-01-01,13.0,364
