Магазин,Хліб,Календар,Кількість списання
АВТОСТАНЦІЯ,БІЛИЙ,2025-01-01,2
АВТОСТАНЦІЯ,СІРИЙ,2025-01-01,0
АВТОСТАНЦІЯ,БОРОДІНСЬКИЙ,2025-01-01,1
АВТОСТАНЦІЯ,ТОСТОВИЙ,2025-01-01,2
АВТОСТАНЦІЯ,ФЕРМЕРСЬКИЙ,2025-01-01,2
АВТОСТАНЦІЯ,ЦІЛЬНОЗЕРНОВИЙ,2025-01-01,2
АВТОСТАНЦІЯ,КЕРПІЧИК,2025-01-01,1
АВТОСТАНЦІЯ,З ТРАВАМИ,2025-01-01,5
ГРІНВІЧ,БІЛИЙ,2025-01-01,0
ГРІНВІЧ,СІРИЙ,2025-01-01,1
ГРІНВІЧ,БОРОДІНСЬКИЙ,2025-01-01,2
ГРІНВІЧ,ТОСТОВИЙ,2025-01-01,0
ГРІНВІЧ,ФЕРМЕРСЬКИЙ,2025-01-01,0
ГРІНВІЧ,ЦІЛЬНОЗЕРНОВИЙ,2025-01-01,3
ГРІНВІЧ,КЕРПІЧИК,2025-01-01,3
ГРІНВІЧ,З ТРАВАМИ,2025-01-01,2
ПАЛАНОК,БІЛИЙ,2025-01-01,2
ПАЛАНОК,СІРИЙ,2025-01-01,0
ПАЛАНОК,БОРОДІНСЬКИЙ,2025-01-01,2
ПАЛАНОК,ТОСТОВИЙ,2025-01-01,1
ПАЛАНОК,ФЕРМЕРСЬКИЙ,2025-01-01,3
ПАЛАНОК,ЦІЛЬНОЗЕРНОВИЙ,2025-01-01,2
ПАЛАНОК,КЕРПІЧИК,2025-01-01,2
ПАЛАНОК,З ТРАВАМИ,2025-01-01,5
ЧЕРЕМШИНА,БІЛИЙ,2025-01-01,1
ЧЕРЕМШИНА,СІРИЙ,2025-01-01,0
ЧЕРЕМШИНА,БОРОДІНСЬКИЙ,2025-01-01,0
ЧЕРЕМШИНА,ТОСТОВИЙ,2025-01-01,0
ЧЕРЕМШИНА,ФЕРМЕРСЬКИЙ,2025-01-01,0
ЧЕРЕМШИНА,ЦІЛЬНОЗЕРНОВИЙ,2025-01-01,5
ЧЕРЕМШИНА,КЕРПІЧИК,2025-01-01,0
ЧЕРЕМШИНА,З ТРАВАМИ,2025-01-01,0
ПІДГОРЯНО,БІЛИЙ,2025-01-01,0
ПІДГОРЯНО,СІРИЙ,2025-01-01,3
ПІДГОРЯНО,БОРОДІНСЬКИЙ,2025-01-01,1
ПІДГОРЯНО,ТОСТОВИЙ,2025-01-01,0
ПІДГОРЯНО,ФЕРМЕРСЬКИЙ,2025-01-01,2
